Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
3.3VLED1,0402,1,RED_LED,
3V3LED1,0402,1,BLUE_LED,
"C1, C2",0402,2,10nF,
"C11, C13",0402,2,1.2pF,
C12,0402,1,0.5pF,
C14,0402,1,100pF,
"C3, C4",0402,2,4pF,
"C5, C8",0402,2,100nF,
C6,0603,1,470nF,
C7,0402,1,0.8pF,
"J1, J10, J11, J12, J13, J14, J15, J16, J2, J3, J4, J5, J6, J7, J8, J9",SolderWirePad_1x01_SMD_1x2mm,16,Conn_01x01_Pin,
L1,0805,1,15uH,
L2,0402,1,3nH,
L3,0402,1,2.5nH,
R1,0402,1,0R,
R2,0402,1,470,
R3,0402,1,3k,
U1,QFN24_4X4_SEM,1,SX1280IMLTRT,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,ABM13W-52.0MHz,
