Designator,Mid X,Mid Y,Rotation,Layer
_3,101.88,-85.95,0.0,top
_2,101.63,-70.15,90.0,top
,93.88,-85.95,0.0,top
3.3VLED1,97.38,-83.91,0.0,top
3V3LED1,102.8,-72.13,180.0,top
C1,95.45,-74.37,90.0,top
C11,99.98,-72.97,0.0,top
C12,95.2,-72.27,0.0,top
C13,93.22,-72.65,270.0,top
C14,92.77,-71.04,0.0,top
C2,94.35,-75.08,90.0,top
C3,93.68,-81.23,0.0,top
C4,93.657,-77.434,180.0,top
C5,97.57,-82.3,180.0,top
C6,94.44,-83.705,270.0,top
C7,97.05,-73.42,90.0,top
C8,102.41,-77.75,180.0,top
L1,100.5,-80.96,45.0,top
L2,98.29,-73.49,90.0,top
L3,95.16,-71.04,180.0,top
R1,97.6,-81.26,0.0,top
R2,102.8,-73.25,0.0,top
R3,97.359999,-85.0,180.0,top
U1,98.4685,-77.149999,0.0,top
Y1,93.62,-79.33,90.0,top
